"Plot","Cell","Row","Column","Taxon","Present"
"HA1-09",84,9,4,"Festuca hystrix",1
"HA1-09",84,9,4,"Koeleria vallesiana",1
"HA1-09",85,9,5,"Koeleria vallesiana",1
"HA1-09",86,9,6,"Festuca hystrix",1
"HA1-09",86,9,6,"Helianthemum canum",1
"HA1-09",87,9,7,"Festuca hystrix",1
"HA1-09",87,9,7,"Helianthemum canum",1
"HA1-09",87,9,7,"Koeleria vallesiana",1
"HA1-09",88,9,8,"Festuca hystrix",1
"HA1-09",88,9,8,"Koeleria vallesiana",1
"HA1-09",89,9,9,"Festuca hystrix",1
"HA1-09",89,9,9,"Thymus praecox subsp. ligusticus",1
"HA1-09",90,9,10,"Festuca hystrix",1
"HA1-09",90,9,10,"Koeleria vallesiana",1
"HA1-09",90,9,10,"Minuartia verna",1
"HA1-09",90,9,10,"Thymus praecox subsp. ligusticus",1
"HA1-09",91,10,1,"Festuca hystrix",1
"HA1-09",92,10,2,"Festuca hystrix",1
"HA1-09",93,10,3,"Festuca hystrix",1
"HA1-09",95,10,5,"Koeleria vallesiana",1
"HA1-09",96,10,6,"Festuca hystrix",1
"HA1-09",96,10,6,"Helianthemum canum",1
"HA1-09",96,10,6,"Koeleria vallesiana",1
"HA1-09",97,10,7,"Festuca hystrix",1
"HA1-09",97,10,7,"Helianthemum canum",1
"HA1-09",97,10,7,"Koeleria vallesiana",1
"HA1-09",98,10,8,"Festuca hystrix",1
"HA1-09",98,10,8,"Koeleria vallesiana",1
"HA1-09",98,10,8,"Minuartia verna",1
"HA1-09",99,10,9,"Festuca hystrix",1
"HA1-09",99,10,9,"Koeleria vallesiana",1
"HA1-09",99,10,9,"Thymus praecox subsp. ligusticus",1
"HA1-09",100,10,10,"Festuca hystrix",1
"HA1-09",100,10,10,"Helianthemum canum",1
"HA1-19",1,1,1,"Anthyllis vulneraria",1
"HA1-19",1,1,1,"Festuca hystrix",1
"HA1-19",1,1,1,"Helictotrichon sedenense",1
"HA1-19",2,1,2,"Festuca hystrix",1
"HA1-19",3,1,3,"Festuca hystrix",1
"HA1-19",3,1,3,"Helianthemum canum",1
"HA1-19",3,1,3,"Thymus praecox subsp. ligusticus",1
"HA1-19",4,1,4,"Festuca hystrix",1
"HA1-19",4,1,4,"Koeleria vallesiana",1
"HA1-19",4,1,4,"Thymus praecox subsp. ligusticus",1
"HA1-19",5,1,5,"Festuca hystrix",1
"HA1-19",5,1,5,"Thymus praecox subsp. ligusticus",1
"HA1-19",7,1,7,"Festuca hystrix",1
"HA1-19",8,1,8,"Festuca hystrix",1
"HA1-19",8,1,8,"Helianthemum canum",1
"HA1-19",9,1,9,"Festuca hystrix",1
"HA1-19",10,1,10,"Festuca hystrix",1
"HA1-19",11,2,1,"Festuca hystrix",1
"HA1-19",11,2,1,"Helianthemum canum",1
"HA1-19",12,2,2,"Festuca hystrix",1
"HA1-19",12,2,2,"Helianthemum canum",1
"HA1-19",13,2,3,"Festuca hystrix",1
"HA1-19",13,2,3,"Thymus praecox subsp. ligusticus",1
"HA1-19",14,2,4,"Festuca hystrix",1
"HA1-19",14,2,4,"Koeleria vallesiana",1
"HA1-19",14,2,4,"Thymus praecox subsp. ligusticus",1
"HA1-19",15,2,5,"Festuca hystrix",1
"HA1-19",15,2,5,"Koeleria vallesiana",1
"HA1-19",15,2,5,"Minuartia verna",1
"HA1-19",16,2,6,"Festuca hystrix",1
"HA1-19",16,2,6,"Minuartia verna",1
"HA1-19",17,2,7,"Festuca hystrix",1
"HA1-19",17,2,7,"Helianthemum canum",1
"HA1-19",18,2,8,"Festuca hystrix",1
"HA1-19",18,2,8,"Helianthemum canum",1
"HA1-19",19,2,9,"Festuca hystrix",1
"HA1-19",20,2,10,"Festuca hystrix",1
"HA1-19",21,3,1,"Festuca hystrix",1
"HA1-19",21,3,1,"Helianthemum canum",1
"HA1-19",22,3,2,"Festuca hystrix",1
"HA1-19",22,3,2,"Helianthemum canum",1
"HA1-19",23,3,3,"Festuca hystrix",1
"HA1-19",24,3,4,"Festuca hystrix",1
"HA1-19",24,3,4,"Koeleria vallesiana",1
"HA1-19",25,3,5,"Festuca hystrix",1
"HA1-19",25,3,5,"Koeleria vallesiana",1
"HA1-19",26,3,6,"Festuca hystrix",1
"HA1-19",27,3,7,"Festuca hystrix",1
"HA1-19",27,3,7,"Helianthemum canum",1
"HA1-19",28,3,8,"Festuca hystrix",1
"HA1-19",29,3,9,"Festuca hystrix",1
"HA1-19",29,3,9,"Koeleria vallesiana",1
"HA1-19",29,3,9,"Thymus praecox subsp. ligusticus",1
"HA1-19",30,3,10,"Festuca hystrix",1
"HA1-19",30,3,10,"Koeleria vallesiana",1
"HA1-19",31,4,1,"Festuca hystrix",1
"HA1-19",31,4,1,"Helianthemum canum",1
"HA1-19",32,4,2,"Festuca hystrix",1
"HA1-19",32,4,2,"Helianthemum canum",1
"HA1-19",33,4,3,"Festuca hystrix",1
"HA1-19",34,4,4,"Festuca hystrix",1
"HA1-19",34,4,4,"Helianthemum canum",1
"HA1-19",35,4,5,"Festuca hystrix",1
"HA1-19",36,4,6,"Festuca hystrix",1
"HA1-19",37,4,7,"Festuca hystrix",1
"HA1-19",37,4,7,"Helianthemum canum",1
"HA1-19",38,4,8,"Festuca hystrix",1
"HA1-19",38,4,8,"Thymus praecox subsp. ligusticus",1
"HA1-19",39,4,9,"Festuca hystrix",1
"HA1-19",39,4,9,"Thymus praecox subsp. ligusticus",1
"HA1-19",40,4,10,"Festuca hystrix",1
"HA1-19",40,4,10,"Koeleria vallesiana",1
"HA1-19",41,5,1,"Festuca hystrix",1
"HA1-19",41,5,1,"Helianthemum canum",1
"HA1-19",42,5,2,"Festuca hystrix",1
"HA1-19",42,5,2,"Helianthemum canum",1
"HA1-19",43,5,3,"Festuca hystrix",1
"HA1-19",44,5,4,"Festuca hystrix",1
"HA1-19",45,5,5,"Festuca hystrix",1
"HA1-19",46,5,6,"Festuca hystrix",1
"HA1-19",47,5,7,"Festuca hystrix",1
"HA1-19",47,5,7,"Thymus praecox subsp. ligusticus",1
"HA1-19",48,5,8,"Festuca hystrix",1
"HA1-19",48,5,8,"Thymus praecox subsp. ligusticus",1
"HA1-19",49,5,9,"Festuca hystrix",1
"HA1-19",49,5,9,"Thymus praecox subsp. ligusticus",1
"HA1-19",50,5,10,"Festuca hystrix",1
"HA1-19",51,6,1,"Festuca hystrix",1
"HA1-19",51,6,1,"Thymus praecox subsp. ligusticus",1
"HA1-19",52,6,2,"Festuca hystrix",1
"HA1-19",52,6,2,"Thymus praecox subsp. ligusticus",1
"HA1-19",53,6,3,"Festuca hystrix",1
"HA1-19",53,6,3,"Thymus praecox subsp. ligusticus",1
"HA1-19",54,6,4,"Festuca hystrix",1
"HA1-19",54,6,4,"Thymus praecox subsp. ligusticus",1
"HA1-19",55,6,5,"Festuca hystrix",1
"HA1-19",55,6,5,"Helianthemum canum",1
"HA1-19",55,6,5,"Thymus praecox subsp. ligusticus",1
"HA1-19",56,6,6,"Festuca hystrix",1
"HA1-19",56,6,6,"Helianthemum canum",1
"HA1-19",57,6,7,"Festuca hystrix",1
"HA1-19",57,6,7,"Helianthemum canum",1
"HA1-19",58,6,8,"Festuca hystrix",1
"HA1-19",58,6,8,"Koeleria vallesiana",1
"HA1-19",58,6,8,"Thymus praecox subsp. ligusticus",1
"HA1-19",59,6,9,"Festuca hystrix",1
"HA1-19",59,6,9,"Thymus praecox subsp. ligusticus",1
"HA1-19",60,6,10,"Festuca hystrix",1
"HA1-19",60,6,10,"Helianthemum canum",1
"HA1-19",60,6,10,"Koeleria vallesiana",1
"HA1-19",61,7,1,"Arenaria erinacea",1
"HA1-19",61,7,1,"Festuca hystrix",1
"HA1-19",62,7,2,"Festuca hystrix",1
"HA1-19",62,7,2,"Helianthemum canum",1
"HA1-19",62,7,2,"Thymus praecox subsp. ligusticus",1
"HA1-19",63,7,3,"Festuca hystrix",1
"HA1-19",63,7,3,"Helianthemum canum",1
"HA1-19",63,7,3,"Thymus praecox subsp. ligusticus",1
"HA1-19",64,7,4,"Festuca hystrix",1
"HA1-19",64,7,4,"Helianthemum canum",1
"HA1-19",64,7,4,"Thymus praecox subsp. ligusticus",1
"HA1-19",65,7,5,"Festuca hystrix",1
"HA1-19",65,7,5,"Helianthemum canum",1
"HA1-19",65,7,5,"Thymus praecox subsp. ligusticus",1
"HA1-19",66,7,6,"Festuca hystrix",1
"HA1-19",66,7,6,"Helianthemum canum",1
"HA1-19",66,7,6,"Koeleria vallesiana",1
"HA1-19",66,7,6,"Minuartia verna",1
"HA1-19",67,7,7,"Festuca hystrix",1
"HA1-19",67,7,7,"Helictotrichon sedenense",1
"HA1-19",67,7,7,"Koeleria vallesiana",1
"HA1-19",67,7,7,"Minuartia verna",1
"HA1-19",68,7,8,"Helictotrichon sedenense",1
"HA1-19",68,7,8,"Koeleria vallesiana",1
"HA1-19",69,7,9,"Androsace villosa",1
"HA1-19",69,7,9,"Festuca hystrix",1
"HA1-19",69,7,9,"Helianthemum canum",1
"HA1-19",69,7,9,"Koeleria vallesiana",1
"HA1-19",70,7,10,"Festuca hystrix",1
"HA1-19",70,7,10,"Helianthemum canum",1
"HA1-19",70,7,10,"Koeleria vallesiana",1
"HA1-19",71,8,1,"Festuca hystrix",1
"HA1-19",72,8,2,"Festuca hystrix",1
"HA1-19",72,8,2,"Helianthemum canum",1
"HA1-19",73,8,3,"Festuca hystrix",1
"HA1-19",73,8,3,"Helianthemum canum",1
"HA1-19",73,8,3,"Thymus praecox subsp. ligusticus",1
"HA1-19",74,8,4,"Festuca hystrix",1
"HA1-19",74,8,4,"Helianthemum canum",1
"HA1-19",74,8,4,"Thymus praecox subsp. ligusticus",1
"HA1-19",75,8,5,"Festuca hystrix",1
"HA1-19",75,8,5,"Thymus praecox subsp. ligusticus",1
"HA1-19",76,8,6,"Festuca hystrix",1
"HA1-19",77,8,7,"Festuca hystrix",1
"HA1-19",78,8,8,"Festuca hystrix",1
"HA1-19",78,8,8,"Koeleria vallesiana",1
"HA1-19",79,8,9,"Androsace villosa",1
"HA1-19",79,8,9,"Festuca hystrix",1
"HA1-19",79,8,9,"Helianthemum canum",1
"HA1-19",80,8,10,"Festuca hystrix",1
"HA1-19",80,8,10,"Helianthemum canum",1
"HA1-19",81,9,1,"Festuca hystrix",1
"HA1-19",81,9,1,"Helianthemum canum",1
"HA1-19",82,9,2,"Festuca hystrix",1
"HA1-19",82,9,2,"Helianthemum canum",1
"HA1-19",83,9,3,"Festuca hystrix",1
"HA1-19",83,9,3,"Helianthemum canum",1
"HA1-19",84,9,4,"Festuca hystrix",1
"HA1-19",84,9,4,"Helianthemum canum",1
"HA1-19",85,9,5,"Festuca hystrix",1
"HA1-19",85,9,5,"Koeleria vallesiana",1
"HA1-19",86,9,6,"Festuca hystrix",1
"HA1-19",86,9,6,"Koeleria vallesiana",1
"HA1-19",87,9,7,"Festuca hystrix",1
"HA1-19",87,9,7,"Helianthemum canum",1
"HA1-19",87,9,7,"Koeleria vallesiana",1
"HA1-19",87,9,7,"Minuartia verna",1
"HA1-19",88,9,8,"Festuca hystrix",1
"HA1-19",88,9,8,"Helianthemum canum",1
"HA1-19",89,9,9,"Festuca hystrix",1
"HA1-19",89,9,9,"Helianthemum canum",1
"HA1-19",90,9,10,"Festuca hystrix",1
"HA1-19",90,9,10,"Helianthemum canum",1
"HA1-19",90,9,10,"Koeleria vallesiana",1
"HA1-19",91,10,1,"Festuca hystrix",1
"HA1-19",91,10,1,"Helianthemum canum",1
"HA1-19",92,10,2,"Festuca hystrix",1
"HA1-19",92,10,2,"Helianthemum canum",1
"HA1-19",92,10,2,"Koeleria vallesiana",1
"HA1-19",93,10,3,"Festuca hystrix",1
"HA1-19",93,10,3,"Helianthemum canum",1
"HA1-19",94,10,4,"Festuca hystrix",1
"HA1-19",95,10,5,"Festuca hystrix",1
"HA1-19",95,10,5,"Koeleria vallesiana",1
"HA1-19",97,10,7,"Helianthemum canum",1
"HA1-19",97,10,7,"Koeleria vallesiana",1
"HA1-19",98,10,8,"Festuca hystrix",1
"HA1-19",98,10,8,"Helianthemum canum",1
"HA1-19",98,10,8,"Helictotrichon sedenense",1
"HA1-19",98,10,8,"Koeleria vallesiana",1
"HA1-19",99,10,9,"Festuca hystrix",1
"HA1-19",99,10,9,"Helictotrichon sedenense",1
"HA1-19",100,10,10,"Festuca hystrix",1
"HA1-19",100,10,10,"Koeleria vallesiana",1
"HA2-09",1,1,1,"Festuca hystrix",1
"HA2-09",1,1,1,"Thymus praecox subsp. ligusticus",1
"HA2-09",2,1,2,"Festuca hystrix",1
"HA2-09",2,1,2,"Helianthemum canum",1
"HA2-09",2,1,2,"Koeleria vallesiana",1
"HA2-09",2,1,2,"Thymus praecox subsp. ligusticus",1
"HA2-09",3,1,3,"Festuca hystrix",1
"HA2-09",3,1,3,"Helianthemum canum",1
"HA2-09",4,1,4,"Festuca hystrix",1
"HA2-09",4,1,4,"Helianthemum canum",1
"HA2-09",5,1,5,"Helianthemum canum",1
"HA2-09",6,1,6,"Festuca hystrix",1
"HA2-09",6,1,6,"Thymus praecox subsp. ligusticus",1
"HA2-09",7,1,7,"Androsace villosa",1
"HA2-09",7,1,7,"Helianthemum canum",1
"HA2-09",8,1,8,"Helianthemum canum",1
"HA2-09",8,1,8,"Thymus praecox subsp. ligusticus",1
"HA2-09",9,1,9,"Thymus praecox subsp. ligusticus",1
"HA2-09",10,1,10,"Arenaria erinacea",1
"HA2-09",10,1,10,"Festuca hystrix",1
"HA2-09",10,1,10,"Koeleria vallesiana",1
"HA2-09",11,2,1,"Festuca hystrix",1
"HA2-09",12,2,2,"Festuca hystrix",1
"HA2-09",12,2,2,"Helianthemum canum",1
"HA2-09",12,2,2,"Koeleria vallesiana",1
"HA2-09",13,2,3,"Arenaria erinacea",1
"HA2-09",13,2,3,"Festuca hystrix",1
"HA2-09",13,2,3,"Helianthemum canum",1
"HA2-09",13,2,3,"Koeleria vallesiana",1
"HA2-09",14,2,4,"Festuca hystrix",1
"HA2-09",14,2,4,"Helianthemum canum",1
"HA2-09",15,2,5,"Arenaria erinacea",1
"HA2-09",15,2,5,"Festuca hystrix",1
"HA2-09",15,2,5,"Helianthemum canum",1
"HA2-09",16,2,6,"Festuca hystrix",1
"HA2-09",17,2,7,"Festuca hystrix",1
"HA2-09",17,2,7,"Helianthemum canum",1
"HA2-09",18,2,8,"Jurinea humilis",1
"HA2-09",19,2,9,"Helianthemum canum",1
"HA2-09",19,2,9,"Jurinea humilis",1
"HA2-09",20,2,10,"Helianthemum canum",1
"HA2-09",21,3,1,"Arenaria erinacea",1
"HA2-09",21,3,1,"Festuca hystrix",1
"HA2-09",21,3,1,"Helianthemum canum",1
"HA2-09",22,3,2,"Festuca hystrix",1
"HA2-09",22,3,2,"Helianthemum canum",1
"HA2-09",22,3,2,"Sempervivum vicentei",1
"HA2-09",23,3,3,"Arenaria erinacea",1
"HA2-09",23,3,3,"Festuca hystrix",1
"HA2-09",24,3,4,"Helianthemum canum",1
"HA2-09",24,3,4,"Koeleria vallesiana",1
"HA2-09",25,3,5,"Helianthemum canum",1
"HA2-09",26,3,6,"Festuca hystrix",1
"HA2-09",26,3,6,"Helianthemum canum",1
"HA2-09",27,3,7,"Festuca hystrix",1
"HA2-09",27,3,7,"Helianthemum canum",1
"HA2-09",27,3,7,"Jurinea humilis",1
"HA2-09",27,3,7,"Thymus praecox subsp. ligusticus",1
"HA2-09",28,3,8,"Arenaria erinacea",1
"HA2-09",28,3,8,"Helianthemum canum",1
"HA2-09",28,3,8,"Jurinea humilis",1
"HA2-09",28,3,8,"Koeleria vallesiana",1
"HA2-09",28,3,8,"Thymus praecox subsp. ligusticus",1
"HA2-09",30,3,10,"Arenaria erinacea",1
"HA2-09",30,3,10,"Koeleria vallesiana",1
"HA2-09",31,4,1,"Festuca hystrix",1
"HA2-09",32,4,2,"Androsace villosa",1
"HA2-09",32,4,2,"Festuca hystrix",1
"HA2-09",32,4,2,"Helianthemum canum",1
"HA2-09",33,4,3,"Androsace villosa",1
"HA2-09",33,4,3,"Festuca hystrix",1
"HA2-09",33,4,3,"Koeleria vallesiana",1
"HA2-09",34,4,4,"Festuca hystrix",1
"HA2-09",34,4,4,"Helianthemum canum",1
"HA2-09",35,4,5,"Festuca hystrix",1
"HA2-09",35,4,5,"Helianthemum canum",1
"HA2-09",35,4,5,"Koeleria vallesiana",1
"HA2-09",36,4,6,"Festuca hystrix",1
"HA2-09",36,4,6,"Helianthemum canum",1
"HA2-09",37,4,7,"Festuca hystrix",1
"HA2-09",37,4,7,"Helianthemum canum",1
"HA2-09",38,4,8,"Arenaria erinacea",1
"HA2-09",38,4,8,"Festuca hystrix",1
"HA2-09",38,4,8,"Helianthemum canum",1
"HA2-09",38,4,8,"Thymus praecox subsp. ligusticus",1
"HA2-09",39,4,9,"Arenaria erinacea",1
"HA2-09",39,4,9,"Helianthemum canum",1
"HA2-09",39,4,9,"Koeleria vallesiana",1
"HA2-09",39,4,9,"Sempervivum vicentei",1
"HA2-09",39,4,9,"Thymus praecox subsp. ligusticus",1
"HA2-09",40,4,10,"Androsace villosa",1
"HA2-09",40,4,10,"Helianthemum canum",1
"HA2-09",41,5,1,"Festuca hystrix",1
"HA2-09",42,5,2,"Festuca hystrix",1
"HA2-09",42,5,2,"Helianthemum canum",1
"HA2-09",43,5,3,"Androsace villosa",1
"HA2-09",43,5,3,"Festuca hystrix",1
"HA2-09",43,5,3,"Koeleria vallesiana",1
"HA2-09",44,5,4,"Festuca hystrix",1
"HA2-09",44,5,4,"Helianthemum canum",1
"HA2-09",44,5,4,"Koeleria vallesiana",1
"HA2-09",45,5,5,"Festuca hystrix",1
"HA2-09",45,5,5,"Helianthemum canum",1
"HA2-09",45,5,5,"Koeleria vallesiana",1
"HA2-09",46,5,6,"Festuca hystrix",1
"HA2-09",46,5,6,"Koeleria vallesiana",1
"HA2-09",46,5,6,"Thymus praecox subsp. ligusticus",1
"HA2-09",47,5,7,"Festuca hystrix",1
"HA2-09",47,5,7,"Koeleria vallesiana",1
"HA2-09",48,5,8,"Androsace villosa",1
"HA2-09",48,5,8,"Arenaria erinacea",1
"HA2-09",48,5,8,"Thymus praecox subsp. ligusticus",1
"HA2-09",49,5,9,"Helianthemum canum",1
"HA2-09",50,5,10,"Helianthemum canum",1
"HA2-09",51,6,1,"Festuca hystrix",1
"HA2-09",52,6,2,"Festuca hystrix",1
"HA2-09",52,6,2,"Helianthemum canum",1
"HA2-09",53,6,3,"Androsace villosa",1
"HA2-09",53,6,3,"Festuca hystrix",1
"HA2-09",54,6,4,"Androsace villosa",1
"HA2-09",54,6,4,"Festuca hystrix",1
"HA2-09",54,6,4,"Helianthemum canum",1
"HA2-09",55,6,5,"Androsace villosa",1
"HA2-09",55,6,5,"Festuca hystrix",1
"HA2-09",55,6,5,"Helianthemum canum",1
"HA2-09",56,6,6,"Festuca hystrix",1
"HA2-09",56,6,6,"Koeleria vallesiana",1
