"","Plot","Site.x","Survey.x","Dim.1","Dim.2","Site.y","bio1","bio2","bio7","Snw","FDD","GDD","Survey.y"
"26","B06","<U+1E24>ou Sin Tierri","Spatial",2.7487275043729,0.245730282397209,"Hou Sin Tierri",5.15217487524217,4.90902024375328,27.0322580645161,88,69.3333333333333,1395.92857142857,"Spatial"
"27","B07","<U+1E24>ou Sin Tierri","Spatial",1.83278762949201,-0.0165147718282403,"Hou Sin Tierri",4.88441973765945,4.40564901357449,25.6451612903226,104,58.5,1293.39285714286,"Spatial"
"28","B08","<U+1E24>ou Sin Tierri","Spatial",0.867153259263203,0.557406111537453,"Hou Sin Tierri",4.38654942881862,3.84127578020793,24.4516129032258,9,52.5,1084.95238095238,"Spatial"
"29","B09","<U+1E24>ou Sin Tierri","Spatial",0.792595145821317,0.509042852660558,"Hou Sin Tierri",4.09027304267849,4.11344170290221,26.5806451612903,130,59.9166666666667,1038.27380952381,"Spatial"
"30","B10","<U+1E24>ou Sin Tierri","Spatial",-0.242429915029096,0.0500799110552685,"Hou Sin Tierri",4.27475891121609,2.75380388984393,23.4032258064516,8,21.8333333333333,982.607142857143,"Spatial"
"31","B11","<U+1E24>ou Sin Tierri","Spatial",2.44119737494106,-0.145767377440882,"Hou Sin Tierri",5.31868761105413,4.45060035441014,25.4838709677419,84,64.5833333333333,1448.0119047619,"Spatial"
"32","B12","<U+1E24>ou Sin Tierri","Spatial",0.139740849908362,0.354070727893604,"Hou Sin Tierri",4.4102940255888,2.89813717983907,23.426267281106,17,54.6666666666667,1079.79761904762,"Spatial"
"33","B13","<U+1E24>ou Sin Tierri","Spatial",0.16168425803189,0.252327355715535,"Hou Sin Tierri",4.47884325537273,2.89981220114702,22.8548387096774,0,49.8333333333333,1096.5,"Spatial"
"34","B14","<U+1E24>ou Sin Tierri","Spatial",-2.02554351031251,-1.41127464172442,"Hou Sin Tierri",3.75804248587897,2.17386393732334,20.9838709677419,220,0,877.880952380952,"Spatial"
"35","B15","<U+1E24>ou Sin Tierri","Spatial",2.70153312619957,-0.338642320327658,"Hou Sin Tierri",5.30604931003985,4.94554387029359,26.1290322580645,80,38.8333333333333,1399.80952380952,"Spatial"
"36","B16","<U+1E24>ou Sin Tierri","Spatial",-0.0497560493463795,1.32634307059412,"Hou Sin Tierri",3.65937521568779,3.33452176299785,26.3387096774194,119,100.333333333333,939.309523809524,"Spatial"
"37","B17","<U+1E24>ou Sin Tierri","Spatial",-2.41065727382752,-0.167703274676435,"Hou Sin Tierri",3.11586442848957,2.36652027986844,20.3064516129032,49,0,633.916666666667,"Spatial"
"38","B18","<U+1E24>ou Sin Tierri","Spatial",-4.0275765099388,-0.660508836896261,"Hou Sin Tierri",2.57493218374753,1.59140579479845,18.0207373271889,168,10.9166666666667,521.595238095238,"Spatial"
"39","B19","<U+1E24>ou Sin Tierri","Spatial",-0.685365538803716,2.18287515044215,"Hou Sin Tierri",2.99172525348832,3.23665713226336,27.7327188940092,141,124.833333333333,736.892857142857,"Spatial"
"40","B20","<U+1E24>ou Sin Tierri","Spatial",-1.19648073505842,1.18716126824179,"Hou Sin Tierri",3.35896111520416,2.6705087182006,23.5645161290323,38,72.75,769.333333333333,"Spatial"
"41","C01","Los Boches","Spatial",0.657454387198463,3.19641753180545,"Los Boches",3.5181674724361,3.65466668111273,28.2258064516129,76,193.833333333333,968.047619047619,"Spatial"
"42","C02","Los Boches","Spatial",2.14633880259006,2.38094399237235,"Los Boches",4.13491475617449,4.79025275799469,30.258064516129,102,148.833333333333,1121.36904761905,"Spatial"
"43","C03","Los Boches","Spatial",1.84541528364811,2.3860594540887,"Los Boches",4.16412197214478,4.57497158940429,27.3709677419355,43,159.5,1161.66666666667,"Spatial"
"44","C04","Los Boches","Spatial",-0.135549871734658,2.19365189252853,"Los Boches",3.65668375315205,3.08972066124458,23.8870967741935,69,172.5,1037.33333333333,"Spatial"
"45","C05","Los Boches","Spatial",-1.98336716338151,0.798096333069284,"Los Boches",3.05924823075824,2.36859112337422,22.6129032258065,138,81.3333333333333,743,"Spatial"
"46","C06","Los Boches","Spatial",-1.88380983478293,-0.126652041459826,"Los Boches",3.48063737646607,2.35545194516273,20.6129032258064,115,44.5833333333333,830.333333333333,"Spatial"
"47","C07","Los Boches","Spatial",-0.84041655668136,-0.134591016448158,"Los Boches",3.68184358281689,3.20520708435058,23.5645161290323,134,27,859.428571428571,"Spatial"
"48","C08","Los Boches","Spatial",-1.57353431423891,-0.648828381412367,"Los Boches",3.57680961048592,2.78304681969865,21.9032258064516,155,10.3333333333333,811.607142857143,"Spatial"
"49","C09","Los Boches","Spatial",-1.92754891874492,0.072376863291169,"Los Boches",3.32223261536387,2.42117311683496,21.4193548387097,107,39.5833333333333,764.488095238095,"Spatial"
"50","C10","Los Boches","Spatial",-1.96771656412614,2.27877052311181,"Los Boches",2.92060189532381,1.98704705565106,22.3433179723502,85,168.166666666667,789,"Spatial"
"51","C11","Los Boches","Spatial",0.267326320083886,2.27281173056589,"Los Boches",3.64305547529964,3.41284002426939,26.3387096774194,87,157.25,995.440476190476,"Spatial"
"52","C12","Los Boches","Spatial",1.5752585328411,3.18220357696689,"Los Boches",3.87573273655031,4.23077373127429,28.7258064516129,19,180.833333333333,1057.05952380952,"Spatial"
"53","C13","Los Boches","Spatial",0.831727222956072,3.14857434697256,"Los Boches",3.71700127366145,3.53008188511526,28.3064516129032,2,168.75,953.797619047619,"Spatial"
"54","C14","Los Boches","Spatial",-2.8123261510852,1.35267932897429,"Los Boches",2.79862042079784,1.65084136293814,20.5322580645161,121,127.25,713.416666666667,"Spatial"
"55","C15","Los Boches","Spatial",0.0865776873070748,3.92230682322079,"Los Boches",3.16130001348299,3.22821762034777,28.0645161290323,11,206.333333333333,824.333333333333,"Spatial"
"56","C16","Los Boches","Spatial",-2.01513005137048,-0.045394906765617,"Los Boches",3.3676431003183,2.41724113854258,20.0645161290323,37,19.1666666666667,736.488095238095,"Spatial"
"57","C17","Los Boches","Spatial",-1.78422701679431,0.178935450226382,"Los Boches",3.54832718572986,2.19091679547742,21.1451612903226,38,33.0833333333333,777.892857142857,"Spatial"
"58","C18","Los Boches","Spatial",-2.89649204788202,-0.828052148297514,"Los Boches",3.06829505928505,2.1008446133029,20.3571428571429,179,0,646.666666666667,"Spatial"
"59","C19","Los Boches","Spatial",-3.19623558231251,-0.129027454870085,"Los Boches",2.96232197230529,1.72188988245718,19.1428571428571,31,0,537.166666666667,"Spatial"
"60","C20","Los Boches","Spatial",-3.61006243162383,-0.387187820660058,"Los Boches",2.57904066487214,1.89114131141384,19.8018433179723,180,16.0833333333333,517.083333333333,"Spatial"
"61","D01","Hoyo Sin Tierra","Spatial",2.82037580479968,-0.672489187086834,"Hoyo Sin Tierra",6.01616539822185,4.0477307638598,23.9700460829493,11,45.9166666666667,1599.38333333333,"Spatial"
"62","D02","Hoyo Sin Tierra","Spatial",1.39473503770992,-1.87577204898734,"Hoyo Sin Tierra",5.69892036726714,3.54789833822092,20.7258064516129,79,3.66666666666667,1486.2380952381,"Spatial"
"63","D03","Hoyo Sin Tierra","Spatial",-0.0905501321329413,-0.73842312711692,"Hoyo Sin Tierra",4.60520993343574,2.92194875017456,21.6820276497696,105,36.5,1164,"Spatial"
"64","D04","Hoyo Sin Tierra","Spatial",0.621335492645691,-0.729415344561944,"Hoyo Sin Tierra",4.92861826793278,3.22582390727552,22.5460829493088,43,17.5,1209.75,"Spatial"
"65","D05","Hoyo Sin Tierra","Spatial",0.291982378064134,-1.30042556051844,"Hoyo Sin Tierra",4.90844010380301,3.23527091188381,21.1751152073733,104,13.1666666666667,1234.0119047619,"Spatial"
"66","D06","Hoyo Sin Tierra","Spatial",2.69153387408099,0.146580316618556,"Hoyo Sin Tierra",5.34385502490341,4.56817483591677,27.905529953917,34,36.4166666666667,1301.25,"Spatial"
"67","D07","Hoyo Sin Tierra","Spatial",1.36096875903257,0.0811075778127687,"Hoyo Sin Tierra",4.73274187729833,3.79384687892752,27.7741935483871,147,51.8333333333333,1177.55952380952,"Spatial"
"68","D08","Hoyo Sin Tierra","Spatial",-0.192517844812244,-0.339684118311201,"Hoyo Sin Tierra",4.36702159847321,2.90858294930876,23.5322580645161,130,43.5833333333333,1068.15476190476,"Spatial"
"69","D09","Hoyo Sin Tierra","Spatial",-0.247133963571397,-0.341486754608593,"Hoyo Sin Tierra",4.20963872596937,3.06851696690406,23.8709677419355,96,18.5833333333333,985.75,"Spatial"
"70","D10","Hoyo Sin Tierra","Spatial",-1.98016507489873,-0.407372806590203,"Hoyo Sin Tierra",3.659707384909,2.14609691383885,19.3387096774194,44,17.1666666666667,819.583333333333,"Spatial"
"71","D11","Hoyo Sin Tierra","Spatial",3.38241613249602,-1.18731291388503,"Hoyo Sin Tierra",5.8801747311828,5.2776794442117,26.6635944700461,101,2.58333333333333,1497.16666666667,"Spatial"
"72","D12","Hoyo Sin Tierra","Spatial",-1.0652060541166,-0.863526057935253,"Hoyo Sin Tierra",4.30060512963739,2.25118000279291,21.2857142857143,65,0,962.261904761905,"Spatial"
"73","D13","Hoyo Sin Tierra","Spatial",-1.56014721904832,-0.900680651964574,"Hoyo Sin Tierra",3.59004939952521,2.76705941907555,23.9285714285714,234,0,774.583333333333,"Spatial"
"74","D14","Hoyo Sin Tierra","Spatial",-0.937098276657201,-0.824442731009016,"Hoyo Sin Tierra",3.9231127519434,2.8162320206675,25.5714285714286,226,0,845.083333333333,"Spatial"
"75","D15","Hoyo Sin Tierra","Spatial",-0.73677154531026,1.03783377873083,"Hoyo Sin Tierra",3.73521767211283,2.63335428012847,24.1935483870968,71,85.6666666666667,892.285714285714,"Spatial"
"76","D16","Hoyo Sin Tierra","Spatial",0.898820000436576,-0.971050695362985,"Hoyo Sin Tierra",4.99220430107527,3.41817832704929,23.9677419354839,112,15.4166666666667,1257.95238095238,"Spatial"
"77","D17","Hoyo Sin Tierra","Spatial",-0.132187930027141,-0.0446583329981066,"Hoyo Sin Tierra",4.28043714797747,2.92259635525765,24.5322580645161,139,54.0833333333333,1045.79761904762,"Spatial"
"78","D18","Hoyo Sin Tierra","Spatial",-1.70623833534442,-0.867990122224535,"Hoyo Sin Tierra",3.47320119396732,2.80242633710376,23.3571428571429,225,0,755.166666666667,"Spatial"
"79","D19","Hoyo Sin Tierra","Spatial",-1.04453945724451,-0.533901702606285,"Hoyo Sin Tierra",3.68891536331052,2.97244972769166,24.8571428571429,188,4.5,812.083333333333,"Spatial"
"80","D20","Hoyo Sin Tierra","Spatial",-1.52925522400538,-0.406478299687481,"Hoyo Sin Tierra",3.93940964949029,2.17634932272029,20.6129032258065,48,17,867.345238095238,"Spatial"
